City,Cuisines,Total_Restaurants,Average_Rating,Total_Votes
Dubai,"Indian, Continental",1,4.8,2510
Dubai,"Indian, North Indian",1,4.5,307
Dubai,"Indian, North Indian, Street Food",1,4.4,281
Dubai,"Indian, Rajasthani",1,4.1,1448
Dubai,"International, Indian",1,4.5,909
Dubai,"Mediterranean, Italian, Thai, European",1,3.9,927
Dubai,"Seafood, American",1,3.2,506
Dubuque,American,1,3.6,159
Dubuque,"American, BBQ, Seafood",1,3.3,65
Dubuque,"American, Breakfast, Burger",1,3.5,60
Dubuque,"American, Burger",2,3.6,165
Dubuque,"American, Burger, Pizza, Cafe",1,3.7,89
Dubuque,"American, Burger, Sandwich",1,3.5,100
Dubuque,"American, Italian",1,3.6,140
Dubuque,"American, Seafood, Steak",1,3.6,72
Dubuque,Breakfast,1,3.4,33
Dubuque,"Breakfast, Pizza",1,3.5,119
Dubuque,"Desserts, Pizza, Ice Cream",1,3.5,74
Dubuque,"International, Pizza",1,3.8,198
Dubuque,Italian,1,3.4,58
Dubuque,"Italian, Pizza",1,3.6,131
Dubuque,"Japanese, Steak, Sushi",1,3.7,83
Dubuque,Mexican,3,3.5,435
Dubuque,Seafood,1,3.3,40
East Ballina,Cafe,1,4.1,56
Edinburgh,American,2,3.75,185
Edinburgh,"Bakery, Cafe",1,4.1,57
Edinburgh,"British, French",1,4.4,275
Edinburgh,"British, Scottish, Seafood",1,4.1,200
Edinburgh,"Burger, Grill",1,4.0,36
Edinburgh,Cafe,1,3.9,81
Edinburgh,"Cafe, Bakery",1,3.9,63
Edinburgh,"Cafe, Bakery, Desserts",1,4.6,130
Edinburgh,Indian,1,4.4,279
Edinburgh,"Indian, Cafe",1,3.8,73
Edinburgh,"Indian, Street Food",1,4.0,76
Edinburgh,Italian,1,4.5,329
Edinburgh,Mexican,1,3.8,31
Edinburgh,"Pizza, Italian",1,3.7,27
Edinburgh,"Scottish, Cafe",1,4.7,163
Edinburgh,"Steak, Scottish, British",1,4.2,64
Edinburgh,"Sushi, Japanese, Cantonese",1,3.8,32
Edinburgh,Thai,1,4.3,61
Edinburgh,"Thai, Asian",1,4.1,84
Faridabad,"American, Fast Food, Burger",1,2.1,57
Faridabad,"American, Fast Food, Salad, Healthy Food",2,1.75,145
Faridabad,Asian,1,0.0,1
Faridabad,Bakery,12,2.6166666666666667,160
Faridabad,"Bakery, Desserts",5,1.8399999999999999,48
Faridabad,"Bakery, Fast Food",7,2.8428571428571425,254
Faridabad,Beverages,1,3.6,27
Faridabad,Biryani,1,0.0,0
Faridabad,"Burger, Desserts, Fast Food",1,3.6,98
Faridabad,"Burger, Fast Food",1,3.5,24
Faridabad,Cafe,8,1.2375,108
Faridabad,"Cafe, American, Mexican, Italian, Thai",1,3.8,134
Faridabad,"Cafe, Chinese",1,3.1,8
Faridabad,"Cafe, Chinese, Fast Food",1,2.8,8
Faridabad,"Cafe, Desserts",1,3.6,59
Faridabad,"Cafe, Italian, Mexican, Continental",1,4.1,153
Faridabad,"Cafe, Italian, Salad",1,2.6,15
Faridabad,"Cafe, North Indian, Chinese, Continental",1,2.7,17
Faridabad,Chinese,9,1.422222222222222,276
Faridabad,"Chinese, Fast Food",5,1.7600000000000002,111
Faridabad,"Chinese, Fast Food, Bakery",1,2.9,4
Faridabad,"Chinese, North Indian",4,1.525,96
Faridabad,"Chinese, North Indian, Fast Food",1,3.0,4
Faridabad,"Chinese, Thai",1,3.8,508
Faridabad,Desserts,2,0.0,0
Faridabad,"Desserts, Ice Cream",1,2.8,12
Faridabad,Fast Food,10,0.9400000000000001,54
Faridabad,"Fast Food, Bakery",1,3.8,75
Faridabad,"Fast Food, Beverages",4,1.525,40
Faridabad,"Fast Food, Burger",1,3.4,58
Faridabad,"Fast Food, Chinese",3,3.0,63
Faridabad,"Fast Food, Chinese, Burger",1,0.0,0
Faridabad,"Fast Food, Chinese, Italian",1,3.1,11
Faridabad,"Fast Food, Desserts, Ice Cream, Beverages",1,2.6,14
Faridabad,"Fast Food, North Indian",2,3.15,39
Faridabad,"Fast Food, Pizza",1,2.6,12
Faridabad,Finger Food,1,3.1,18
Faridabad,Ice Cream,1,2.9,4
Faridabad,"Ice Cream, Desserts",3,2.266666666666667,86
Faridabad,"Ice Cream, Desserts, Beverages",1,0.0,1
Faridabad,Italian,3,1.5,800
Faridabad,"Italian, Fast Food",1,2.9,4
Faridabad,"Italian, North Indian",1,0.0,0
Faridabad,"Juices, Beverages",1,3.5,18
Faridabad,Mediterranean,1,0.0,3
Faridabad,Mithai,4,1.525,49
Faridabad,"Mithai, Bakery, Street Food, Chinese, South Indian",1,3.0,8
Faridabad,"Mithai, North Indian",1,0.0,0
Faridabad,"Mithai, North Indian, South Indian, Chinese, Fast Food",1,2.7,28
Faridabad,"Mithai, South Indian, Chinese, Street Food",1,0.0,0
Faridabad,"Mithai, Street Food",6,0.9833333333333334,27
Faridabad,"Mithai, Street Food, Chinese",1,2.9,4
Faridabad,"Mithai, Street Food, Fast Food",1,0.0,0
Faridabad,Mughlai,3,1.1666666666666667,33
Faridabad,North Indian,28,1.4392857142857143,625
Faridabad,"North Indian, Chinese",27,1.7333333333333332,366
Faridabad,"North Indian, Chinese, Continental",4,2.3,30
Faridabad,"North Indian, Chinese, Fast Food",2,3.2,32
Faridabad,"North Indian, Chinese, Italian",1,3.1,28
Faridabad,"North Indian, Chinese, Italian, Fast Food",1,3.1,7
Faridabad,"North Indian, Chinese, Mughlai",3,2.1333333333333333,51
Faridabad,"North Indian, Chinese, Raw Meats",1,3.0,8
Faridabad,"North Indian, Chinese, South Indian",1,3.0,8
Faridabad,"North Indian, Chinese, South Indian, Fast Food",1,3.0,22
Faridabad,"North Indian, Continental, Chinese",1,3.3,56
Faridabad,"North Indian, Fast Food",1,0.0,3
Faridabad,"North Indian, Mughlai",10,1.9599999999999997,406
Faridabad,"North Indian, Mughlai, Chinese",13,1.9307692307692308,177
Faridabad,"North Indian, Mughlai, Continental",1,0.0,1
Faridabad,"North Indian, Seafood",1,0.0,0
Faridabad,"North Indian, South Indian, Chinese",1,0.0,3
Faridabad,"North Indian, South Indian, Chinese, Fast Food",2,1.35,19
Faridabad,"North Indian, South Indian, Chinese, Fast Food, Mithai",1,3.4,70
Faridabad,"North Indian, South Indian, Fast Food, Street Food, Mithai",1,2.6,39
Faridabad,"North Indian, South Indian, Gujarati, Rajasthani",1,3.4,233
Faridabad,Pizza,2,3.05,54
Faridabad,"Pizza, Fast Food",2,1.45,11
Faridabad,"Raw Meats, Fast Food",2,1.55,19
Faridabad,"Raw Meats, Fast Food, North Indian",1,0.0,0
Faridabad,"Raw Meats, North Indian, Chinese, Fast Food",1,3.7,280
Faridabad,"Raw Meats, North Indian, Fast Food",4,3.175,52
Faridabad,South Indian,2,0.0,4
Faridabad,"South Indian, Chinese, North Indian",1,0.0,2
Faridabad,"South Indian, North Indian, Chinese",2,3.05,77
Faridabad,Street Food,1,3.1,12
Faridabad,"Street Food, Fast Food",2,0.0,2
Faridabad,"Street Food, South Indian, Mithai",1,2.8,13
Fernley,Mexican,1,3.7,83
Flaxton,"Tea, Modern Australian",1,3.5,37
Forrest,"Cafe, Australian",1,3.7,29
Gainesville,"American, Burger, Cajun",1,3.8,88
Gainesville,"American, European, Sandwich",1,4.2,350
Gainesville,"American, Sandwich, Seafood",1,4.4,239
Gainesville,"American, Southern",2,4.25,483
Gainesville,BBQ,2,3.8499999999999996,222
Gainesville,"BBQ, Burger, Seafood",1,4.1,235
Gainesville,"BBQ, Sandwich",1,4.1,182
Gainesville,"Bar Food, Seafood, Vegetarian",1,4.1,171
Gainesville,"Burger, German, Sandwich",1,2.2,108
Gainesville,"Chinese, Japanese, Thai",1,4.4,267
Gainesville,German,1,3.8,114
Gainesville,"German, Ice Cream",1,3.9,136
Gainesville,"Italian, Pizza, Sandwich",1,4.0,161
Gainesville,"Sandwich, Seafood, Cajun",1,4.9,681
Gainesville,Seafood,1,3.8,107
Gainesville,Southern,1,4.3,298
Gainesville,Thai,1,4.6,357
Ghaziabad,Bakery,1,3.0,6
Ghaziabad,"Burger, Desserts, Fast Food",1,3.6,252
Ghaziabad,"Burger, Fast Food",1,3.4,327
Ghaziabad,Cafe,3,3.3000000000000003,156
Ghaziabad,Chinese,2,2.75,197
Ghaziabad,Fast Food,1,3.1,7
Ghaziabad,"Fast Food, Burger",1,3.3,150
Ghaziabad,"Fast Food, Cafe, Desserts, Bakery",1,3.9,52
Ghaziabad,Ice Cream,2,1.65,27
Ghaziabad,North Indian,3,2.1333333333333333,176
Ghaziabad,"North Indian, Chinese",1,2.5,184
Ghaziabad,"North Indian, Chinese, Continental",1,2.6,92
Ghaziabad,"North Indian, Fast Food",1,3.3,114
Ghaziabad,"North Indian, Mughlai",2,2.25,336
Ghaziabad,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",1,3.6,187
Ghaziabad,"Pizza, Fast Food",1,3.2,17
Ghaziabad,South Indian,1,3.0,6
Ghaziabad,"South Indian, North Indian, Chinese",1,3.2,80
Goa,Cafe,1,4.3,265
Goa,"Continental, Goan, Seafood, North Indian",2,4.5,878
Goa,"Continental, North Indian, Italian, Seafood, Goan",1,3.5,1681
Goa,Fast Food,1,4.8,415
Goa,Finger Food,2,4.050000000000001,1162
Goa,"Goan, North Indian, Chinese",1,3.8,601
Goa,"Goan, Seafood, Chinese",1,4.2,414
Goa,"Goan, Seafood, Chinese, North Indian",1,4.4,1115
Goa,"Goan, Seafood, North Indian",1,4.5,840
Goa,"Italian, Continental, Goan",1,3.7,1221
Goa,"Italian, French, Cafe",1,4.5,280
Goa,"North Indian, Chinese, Continental, Goan, Seafood",1,3.8,911
Goa,"North Indian, Continental, Chinese, Seafood",1,4.3,2191
Goa,"North Indian, Continental, Goan",2,4.25,1774
Goa,Seafood,1,4.2,367
Goa,"Seafood, Continental, European, German",1,4.7,681
Goa,"Seafood, French",1,4.6,302
Gurgaon,Afghani,2,0.0,0
Gurgaon,"Afghani, North Indian",1,0.0,0
Gurgaon,"American, Continental, Burger",1,4.6,150
Gurgaon,"American, European, North Indian",1,3.5,259
Gurgaon,"American, Fast Food",4,3.625,771
Gurgaon,"American, Fast Food, Burger",3,2.5,224
Gurgaon,"American, Fast Food, Salad, Healthy Food",11,2.963636363636364,894
Gurgaon,"American, Italian, Chinese",1,4.1,353
Gurgaon,"American, Mexican",1,3.3,793
Gurgaon,"American, Seafood, Italian, Japanese, Thai",1,3.5,57
Gurgaon,"American, Tex-Mex",1,3.7,730
Gurgaon,"Arabian, Lebanese",1,3.1,82
Gurgaon,Asian,2,3.95,55
Gurgaon,"Asian, Bakery",1,2.8,21
Gurgaon,"Asian, Burmese",1,4.6,563
Gurgaon,"Asian, Chinese, North Indian",1,3.8,61
Gurgaon,"Asian, Continental, Fast Food",1,4.5,76
Gurgaon,"Asian, European",1,3.9,297
Gurgaon,"Asian, Seafood",1,4.1,105
Gurgaon,"Asian, Thai, Chinese",1,4.1,875
Gurgaon,"Awadhi, North Indian, Mughlai",1,3.8,86
Gurgaon,Bakery,35,2.494285714285714,962
Gurgaon,"Bakery, Beverages",1,3.4,57
Gurgaon,"Bakery, Cafe",1,3.8,227
Gurgaon,"Bakery, Chinese, North Indian",1,0.0,0
Gurgaon,"Bakery, Desserts",25,2.344,1067
Gurgaon,"Bakery, Desserts, Bakery",1,3.1,6
Gurgaon,"Bakery, Desserts, Beverages",3,3.633333333333333,281
Gurgaon,"Bakery, Desserts, Fast Food",13,3.3846153846153846,798
Gurgaon,"Bakery, Desserts, North Indian, Bengali, South Indian",1,3.5,37
Gurgaon,"Bakery, Fast Food",11,2.2636363636363637,761
Gurgaon,"Bakery, Fast Food, Chinese",1,3.3,26
Gurgaon,"Bakery, Mithai, Fast Food",1,2.9,10
Gurgaon,"Bakery, Street Food",1,3.2,18
Gurgaon,Bengali,1,3.6,86
Gurgaon,"Bengali, Fast Food",1,3.2,27
Gurgaon,"Bengali, North Indian",2,1.75,49
Gurgaon,"Bengali, Seafood",1,3.8,706
Gurgaon,Beverages,4,1.55,45
Gurgaon,"Beverages, Fast Food",2,3.3,32
Gurgaon,"Beverages, Juices",1,3.1,9
Gurgaon,"Beverages, Salad",1,4.3,154
Gurgaon,"Beverages, Salad, Beverages",1,4.3,33
Gurgaon,"Bihari, Lucknowi, North Indian",1,4.0,226
Gurgaon,Biryani,10,1.98,150
Gurgaon,"Biryani, Lucknowi, North Indian",1,3.4,165
Gurgaon,"Biryani, Mughlai",1,3.9,403
Gurgaon,"Biryani, North Indian",6,2.5666666666666664,231
Gurgaon,"Biryani, North Indian, Hyderabadi",1,4.0,530
Gurgaon,"Biryani, North Indian, Mughlai",1,3.7,371
Gurgaon,"Biryani, Pizza, Fast Food, Healthy Food",1,0.0,1
Gurgaon,"Burger, American, Fast Food",2,3.85,138
Gurgaon,"Burger, Desserts, Fast Food",6,3.5666666666666664,1497
Gurgaon,"Burger, Fast Food",10,3.06,1210
Gurgaon,"Burger, Fast Food, Chinese",3,2.1333333333333333,338
Gurgaon,"Burmese, Chinese, Japanese, Malaysian, Thai",1,3.9,280
Gurgaon,"Burmese, Chinese, Thai",1,3.4,65
Gurgaon,Cafe,45,2.58,2105
Gurgaon,"Cafe, American, Desserts, Italian, Bakery",1,3.7,18
Gurgaon,"Cafe, Bakery",2,3.25,511
Gurgaon,"Cafe, Bakery, Desserts",2,3.75,283
Gurgaon,"Cafe, Belgian",1,3.9,231
Gurgaon,"Cafe, Beverages",1,3.4,16
Gurgaon,"Cafe, Continental",1,4.4,161
Gurgaon,"Cafe, Continental, Italian, Pizza",1,4.1,255
Gurgaon,"Cafe, Desserts",1,3.6,365
Gurgaon,"Cafe, Fast Food",2,3.45,73
Gurgaon,"Cafe, Fast Food, Chinese",1,3.7,45
Gurgaon,"Cafe, Fast Food, Street Food",1,3.2,31
Gurgaon,"Cafe, Italian",1,3.4,19
Gurgaon,"Cafe, Italian, Bakery",1,4.4,83
Gurgaon,"Cafe, Italian, European, Bakery",1,4.1,147
Gurgaon,"Cafe, Italian, Fast Food",1,3.5,52
Gurgaon,"Cafe, Italian, Pizza",1,3.7,647
Gurgaon,"Cafe, North Indian",1,4.0,62
Gurgaon,"Cafe, Pizza, Burger",1,4.0,34
Gurgaon,"Cafe, Street Food",1,3.2,21
Gurgaon,"Cafe, Tea",6,2.533333333333333,613
Gurgaon,Chinese,32,1.934375,2199
Gurgaon,"Chinese, Asian",2,3.8499999999999996,305
Gurgaon,"Chinese, Asian, Thai",2,3.8499999999999996,179
Gurgaon,"Chinese, Assamese",1,3.3,153
Gurgaon,"Chinese, Continental, North Indian",1,3.1,11
Gurgaon,"Chinese, Continental, North Indian, Mexican",1,4.1,569
Gurgaon,"Chinese, Fast Food",5,2.18,39
Gurgaon,"Chinese, Fast Food, North Indian",1,0.0,0
Gurgaon,"Chinese, Italian, North Indian",1,3.5,32
Gurgaon,"Chinese, Japanese, Sushi",1,4.5,407
Gurgaon,"Chinese, Japanese, Thai, Asian",1,3.5,384
Gurgaon,"Chinese, Mexican, Fast Food, Continental",1,3.0,4
Gurgaon,"Chinese, Mughlai, North Indian",2,1.2,55
Gurgaon,"Chinese, North Indian",13,1.5769230769230769,89
Gurgaon,"Chinese, North Indian, Continental, Mexican",1,2.7,19
Gurgaon,"Chinese, North Indian, Italian",2,1.6,9
Gurgaon,"Chinese, North Indian, Italian, Continental",1,3.2,30
Gurgaon,"Chinese, North Indian, Mughlai",2,2.9,132
Gurgaon,"Chinese, North Indian, Mughlai, Continental",1,3.5,853
Gurgaon,"Chinese, North Indian, South Indian",1,2.8,31
Gurgaon,"Chinese, North Indian, South Indian, Healthy Food",1,3.1,6
Gurgaon,"Chinese, North Indian, South Indian, Street Food",1,2.3,31
Gurgaon,"Chinese, Seafood, Japanese",1,2.6,83
Gurgaon,"Chinese, Street Food",1,2.8,6
Gurgaon,"Chinese, Thai",8,3.4125,1267
Gurgaon,"Chinese, Thai, Asian",3,3.8333333333333335,448
Gurgaon,"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",1,3.9,360
Gurgaon,"Chinese, Thai, Japanese, Tibetan",1,2.8,15
Gurgaon,"Chinese, Thai, Malaysian, Indonesian",1,3.3,199
Gurgaon,"Chinese, Thai, North Indian, Japanese",1,3.8,184
Gurgaon,"Chinese, Thai, Sushi",1,4.0,162
Gurgaon,"Chinese, Tibetan",1,2.9,9
Gurgaon,Continental,4,3.775,171
Gurgaon,"Continental, American, Asian, North Indian",1,4.3,716
Gurgaon,"Continental, American, Italian",1,4.0,192
Gurgaon,"Continental, American, Italian, Seafood, North Indian, Cafe",1,4.0,1840
Gurgaon,"Continental, American, North Indian, Chinese",1,3.7,176
Gurgaon,"Continental, Asian, North Indian, Italian",1,3.5,240
Gurgaon,"Continental, Burger, American",1,3.5,129
Gurgaon,"Continental, Burger, Pizza, North Indian, European, Finger Food",1,3.9,96
Gurgaon,"Continental, Chinese, North Indian, Mughlai",1,3.1,17
Gurgaon,"Continental, Chinese, Thai, Mughlai, North Indian",1,3.8,1317
Gurgaon,"Continental, European, Asian, North Indian, Chinese, Italian",1,4.1,214
Gurgaon,"Continental, European, North Indian",1,2.1,90
Gurgaon,"Continental, Fast Food",1,3.1,7
Gurgaon,"Continental, Finger Food",1,3.4,20
Gurgaon,"Continental, Finger Food, Chinese, North Indian",1,3.8,31
Gurgaon,"Continental, Healthy Food",2,3.65,27
Gurgaon,"Continental, Italian",2,3.75,1238
Gurgaon,"Continental, Italian, Mexican",1,3.4,69
Gurgaon,"Continental, Italian, North Indian, American",1,3.5,134
Gurgaon,"Continental, Italian, North Indian, Mughlai",1,4.4,166
Gurgaon,"Continental, Italian, Pizza, Asian",1,4.6,395
Gurgaon,"Continental, North Indian",5,3.44,434
Gurgaon,"Continental, North Indian, Asian",2,3.5,80
Gurgaon,"Continental, North Indian, Chinese",5,3.6799999999999997,599
Gurgaon,"Continental, North Indian, Chinese, European, Asian",1,3.9,401
Gurgaon,"Continental, North Indian, Chinese, Italian",1,4.2,248
Gurgaon,"Continental, North Indian, European, Finger Food",1,4.2,1193
Gurgaon,"Continental, North Indian, Italian, Chinese",1,4.2,1809
Gurgaon,"Continental, North Indian, Mughlai, Chinese",1,2.6,115
Gurgaon,Desserts,4,2.375,28
Gurgaon,"Desserts, Bakery",1,3.9,43
Gurgaon,"Desserts, Beverages",2,3.5,432
Gurgaon,"Desserts, Ice Cream",1,3.6,28
Gurgaon,Drinks Only,1,0.0,0
Gurgaon,"European, American, Street Food",1,3.7,31
Gurgaon,"European, Continental",1,4.2,205
Gurgaon,"European, Italian",1,3.6,58
Gurgaon,Fast Food,25,2.1319999999999997,1476
Gurgaon,"Fast Food, Beverages",4,2.375,38
Gurgaon,"Fast Food, Burger",7,3.142857142857143,659
Gurgaon,"Fast Food, Chinese",8,1.9,172
Gurgaon,"Fast Food, Chinese, Bengali",1,3.3,38
Gurgaon,"Fast Food, Italian, Pizza",1,4.1,151
Gurgaon,"Fast Food, North Indian",5,2.1399999999999997,165
Gurgaon,"Fast Food, North Indian, Beverages",1,0.0,0
Gurgaon,"Fast Food, North Indian, Chinese",2,3.05,442
Gurgaon,"Fast Food, Pizza",2,3.4000000000000004,114
Gurgaon,"Fast Food, Street Food",3,2.1999999999999997,69
Gurgaon,"Fast Food, Street Food, Beverages",1,3.3,11
Gurgaon,Finger Food,11,3.1181818181818177,690
Gurgaon,"Finger Food, American, Continental, North Indian, Italian",1,4.6,2093
Gurgaon,"Finger Food, Continental, Italian",1,3.7,127
Gurgaon,"Finger Food, Continental, North Indian, Italian, Chinese",1,3.7,1902
Gurgaon,"Finger Food, North Indian, Chinese",1,0.0,0
Gurgaon,"Finger Food, North Indian, Italian, European, Continental",1,4.1,230
Gurgaon,Goan,1,4.0,429
Gurgaon,"Goan, American, Portuguese",1,3.8,23
Gurgaon,"Greek, Mediterranean",1,3.6,27
Gurgaon,"Gujarati, Rajasthani",1,2.9,501
Gurgaon,Healthy Food,1,0.0,0
Gurgaon,"Healthy Food, Beverages",2,3.45,41
Gurgaon,"Healthy Food, Cafe, Desserts, Italian, Bakery",1,3.8,99
Gurgaon,"Healthy Food, Continental",2,3.45,237
Gurgaon,"Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",1,4.0,101
Gurgaon,"Healthy Food, Continental, North Indian, Salad",1,3.5,30
Gurgaon,"Healthy Food, European, Continental, Salad",1,3.6,461
Gurgaon,"Healthy Food, Fast Food, Salad",1,3.2,44
Gurgaon,"Healthy Food, Juices, Salad, Italian, Continental",2,4.05,108
Gurgaon,"Healthy Food, North Indian",1,3.6,57
Gurgaon,"Healthy Food, North Indian, Beverages",1,3.7,25
Gurgaon,"Healthy Food, North Indian, Continental",1,4.0,162
Gurgaon,"Healthy Food, North Indian, Italian, Salad",1,3.4,20
Gurgaon,"Healthy Food, Salad",3,3.6666666666666665,964
Gurgaon,"Healthy Food, Salad, Italian, Continental",1,3.9,144
Gurgaon,"Hyderabadi, North Indian, Biryani",2,3.6999999999999997,352
Gurgaon,Ice Cream,11,1.6181818181818182,122
Gurgaon,"Ice Cream, Desserts",9,3.022222222222222,788
Gurgaon,Italian,7,3.6714285714285713,1622
Gurgaon,"Italian, Burger, Charcoal Grill",1,3.8,127
Gurgaon,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",2,3.8,299
Gurgaon,"Italian, European",1,2.4,2412
Gurgaon,"Italian, Fast Food",2,3.65,157
Gurgaon,"Italian, Lebanese, Fast Food, Bakery",1,3.6,29
Gurgaon,"Italian, Mexican",1,3.5,40
Gurgaon,"Italian, Mexican, Cafe",1,3.6,296
Gurgaon,"Italian, Pizza",2,3.6500000000000004,242
Gurgaon,"Italian, Pizza, Cafe",1,3.8,101
Gurgaon,"Italian, Pizza, Fast Food",4,2.625,255
Gurgaon,"Italian, Pizza, Lebanese",1,3.3,218
Gurgaon,Japanese,6,3.3333333333333335,265
Gurgaon,"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",1,3.5,81
Gurgaon,"Japanese, Chinese, Thai",2,3.7,309
Gurgaon,"Japanese, Sushi",3,3.8333333333333335,309
Gurgaon,"Japanese, Thai, Chinese",1,3.0,57
Gurgaon,"Japanese, Thai, Italian, Asian",1,3.5,13
Gurgaon,"Japanese, Tibetan, Vietnamese, Korean",1,3.8,115
Gurgaon,Juices,1,0.0,1
Gurgaon,"Juices, Beverages, Healthy Food",1,4.3,217
Gurgaon,Kashmiri,3,3.5,658
Gurgaon,"Kashmiri, Mughlai",1,4.2,146
Gurgaon,Korean,2,3.7,339
Gurgaon,"Korean, Chinese",1,3.0,21
Gurgaon,"Korean, Japanese, Chinese, Asian",1,3.6,38
Gurgaon,Lebanese,3,3.5,405
Gurgaon,"Lebanese, Mediterranean, Middle Eastern, Arabian",1,3.9,233
Gurgaon,"Lebanese, North Indian",1,3.4,165
Gurgaon,Lucknowi,1,3.7,179
Gurgaon,Mediterranean,1,3.2,6
Gurgaon,"Mediterranean, Continental",1,4.2,144
Gurgaon,"Mediterranean, European, American, North Indian",1,3.8,1046
Gurgaon,"Mediterranean, Italian, European",1,3.9,1490
Gurgaon,"Mediterranean, Mexican, North Indian, American",1,4.1,1949
Gurgaon,"Mediterranean, Mughlai, Thai, North Indian, Chinese",1,3.5,19
Gurgaon,"Mexican, American, Healthy Food",1,4.9,223
Gurgaon,"Mexican, Fast Food",1,3.8,176
Gurgaon,"Mexican, Italian, North Indian, Chinese",1,3.6,254
Gurgaon,"Mexican, Lebanese, Italian, Continental, Thai",1,3.1,7
Gurgaon,Mithai,4,1.7000000000000002,37
Gurgaon,"Mithai, Bakery, Street Food",1,2.8,5
Gurgaon,"Mithai, North Indian",1,0.0,0
Gurgaon,"Mithai, North Indian, Chinese, Street Food",1,2.7,28
Gurgaon,"Mithai, North Indian, South Indian, Chinese",1,3.2,50
Gurgaon,"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",1,3.8,966
Gurgaon,"Mithai, South Indian, Chinese, Street Food, North Indian",1,2.9,26
Gurgaon,"Mithai, Street Food",11,1.4727272727272727,150
Gurgaon,"Mithai, Street Food, Chinese",1,3.0,4
Gurgaon,"Mithai, Street Food, North Indian",1,2.6,36
Gurgaon,"Mithai, Street Food, South Indian, Chinese, North Indian",1,2.7,83
Gurgaon,Modern Indian,1,4.3,4385
Gurgaon,"Modern Indian, North Indian",1,4.8,1478
Gurgaon,Mughlai,6,1.55,56
Gurgaon,"Mughlai, Biryani",2,1.85,125
Gurgaon,"Mughlai, Chinese",1,3.4,33
Gurgaon,"Mughlai, Hyderabadi",1,4.1,84
Gurgaon,"Mughlai, Lucknowi, Awadhi",2,3.1,56
Gurgaon,"Mughlai, North Indian",7,2.2285714285714286,469
Gurgaon,"Mughlai, North Indian, Chinese",1,0.0,0
Gurgaon,"Mughlai, Pakistani, North Indian",1,3.8,665
Gurgaon,"North Eastern, Continental, South Indian, Fast Food",1,3.5,194
Gurgaon,North Indian,105,1.622857142857143,5062
Gurgaon,"North Indian, American, Asian, Biryani",1,4.7,69
Gurgaon,"North Indian, American, Italian",1,2.8,91
Gurgaon,"North Indian, Asian",1,3.9,394
Gurgaon,"North Indian, Asian, Continental",1,3.8,91
Gurgaon,"North Indian, Asian, European",1,4.2,77
Gurgaon,"North Indian, Asian, Italian",1,4.0,242
Gurgaon,"North Indian, Biryani",1,3.2,16
Gurgaon,"North Indian, Biryani, Chinese",1,3.0,8
Gurgaon,"North Indian, Biryani, Fast Food, Chinese",1,2.7,23
Gurgaon,"North Indian, Chinese",66,2.3393939393939394,1989
Gurgaon,"North Indian, Chinese, Continental",10,2.82,1122
Gurgaon,"North Indian, Chinese, Continental, Thai",1,3.9,280
Gurgaon,"North Indian, Chinese, Fast Food",15,2.853333333333333,962
Gurgaon,"North Indian, Chinese, Fast Food, Desserts",1,2.9,4
Gurgaon,"North Indian, Chinese, Italian",4,2.7,588
Gurgaon,"North Indian, Chinese, Italian, Continental",2,3.9000000000000004,3588
Gurgaon,"North Indian, Chinese, Mughlai",7,3.0142857142857147,389
Gurgaon,"North Indian, Chinese, South Indian",3,1.0,34
Gurgaon,"North Indian, Chinese, South Indian, Fast Food",1,0.0,0
Gurgaon,"North Indian, Chinese, South Indian, Seafood, Chettinad",1,3.6,289
Gurgaon,"North Indian, Chinese, Street Food",1,3.2,18
Gurgaon,"North Indian, Chinese, Street Food, Fast Food",1,2.5,12
Gurgaon,"North Indian, Chinese, Thai",1,3.6,32
Gurgaon,"North Indian, Continental",4,3.175,237
Gurgaon,"North Indian, Continental, Asian",3,3.6333333333333333,309
Gurgaon,"North Indian, Continental, Chinese",5,3.4,482
Gurgaon,"North Indian, Continental, Chinese, Japanese, Italian, Thai",1,3.9,490
Gurgaon,"North Indian, Continental, Italian",1,3.9,67
Gurgaon,"North Indian, Continental, Mughlai, Asian",1,4.1,2806
Gurgaon,"North Indian, Fast Food",9,2.7777777777777777,270
Gurgaon,"North Indian, Fast Food, South Indian",1,0.0,1
Gurgaon,"North Indian, Finger Food",1,3.0,10
Gurgaon,"North Indian, Greek, Mughlai",1,3.2,14
Gurgaon,"North Indian, Italian, Chinese, American",1,4.4,391
Gurgaon,"North Indian, Italian, Mexican",1,2.7,24
Gurgaon,"North Indian, Italian, Parsi, Asian, Kerala",1,4.4,146
Gurgaon,"North Indian, Mediterranean, European, Asian, Chinese, Pizza",1,3.8,305
Gurgaon,"North Indian, Mithai, Chinese",1,0.0,0
Gurgaon,"North Indian, Mithai, Chinese, Street Food",1,3.8,40
Gurgaon,"North Indian, Mithai, Street Food",1,2.6,30
Gurgaon,"North Indian, Mughlai",42,3.1238095238095234,9694
Gurgaon,"North Indian, Mughlai, Asian, Continental",1,3.9,1365
